fecha,sku,producto,unidades_vendidas,nota
2014-01-06,SKU-001,Arroz_500g,754.8,ok
2014-01-06,SKU-002,Aceite_1L,-13.9,negativo
2014-01-06,SKU-003,Azucar_1kg,749.4,ok
2014-01-06,SKU-004,Leche_UHT_1L,,missing_bloque
2014-01-06,SKU-005,Harina_1kg,467.6,ok
2014-01-06,SKU-006,Pasta_Spaghetti,551.1,ok
2014-01-06,SKU-007,Atun_Lata_170g,404.3,ok
2014-01-06,SKU-008,Frijol_500g,483.6,ok
2014-01-06,SKU-009,Sal_1kg,299.2,ok
2014-01-06,SKU-010,Cafe_Molido_250g,754.7,ok
2014-01-06,SKU-011,Jabon_Barra,531.0,ok
2014-01-06,SKU-012,Shampoo_400ml,431.0,ok
2014-01-06,SKU-013,Papel_Higienico_4x,831.3,ok
2014-01-06,SKU-014,Detergente_1kg,608.7,ok
2014-01-06,SKU-015,Mayonesa_445g,371.3,ok
2014-01-06,SKU-016,Ketchup_397g,322.8,ok
2014-01-06,SKU-017,Galletas_200g,,missing
2014-01-06,SKU-018,Jugo_Naranja_1L,546.6,ok
2014-01-06,SKU-019,Agua_500ml_x24,1507.3,ok
2014-01-06,SKU-020,Cereal_Corn_500g,451.0,ok
2014-01-13,SKU-001,Arroz_500g,907.2,ok
2014-01-13,SKU-002,Aceite_1L,718.3,ok
2014-01-13,SKU-003,Azucar_1kg,807.4,ok
2014-01-13,SKU-004,Leche_UHT_1L,,missing_bloque
2014-01-13,SKU-005,Harina_1kg,473.5,ok
2014-01-13,SKU-006,Pasta_Spaghetti,570.7,ok
2014-01-13,SKU-007,Atun_Lata_170g,393.1,ok
2014-01-13,SKU-008,Frijol_500g,419.9,ok
2014-01-13,SKU-009,Sal_1kg,278.0,ok
2014-01-13,SKU-010,Cafe_Molido_250g,725.8,ok
2014-01-13,SKU-011,Jabon_Barra,649.5,ok
2014-01-13,SKU-012,Shampoo_400ml,448.4,ok
2014-01-13,SKU-013,Papel_Higienico_4x,921.1,ok
2014-01-13,SKU-014,Detergente_1kg,722.1,ok
2014-01-13,SKU-015,Mayonesa_445g,384.7,ok
2014-01-13,SKU-016,Ketchup_397g,,missing
2014-01-13,SKU-017,Galletas_200g,803.5,ok
2014-01-13,SKU-018,Jugo_Naranja_1L,,missing
2014-01-13,SKU-019,Agua_500ml_x24,1435.0,ok
2014-01-13,SKU-020,Cereal_Corn_500g,,missing
2014-01-20,SKU-001,Arroz_500g,865.2,ok
2014-01-20,SKU-002,Aceite_1L,759.9,ok
2014-01-20,SKU-003,Azucar_1kg,785.7,ok
2014-01-20,SKU-004,Leche_UHT_1L,,missing_bloque
2014-01-20,SKU-005,Harina_1kg,500.7,ok
2014-01-20,SKU-006,Pasta_Spaghetti,662.9,ok
